log_id,lot_id,image_hash,tflite_predicted_category,tflite_confidence_score,collector_confirmed_category,collector_language,feedback_action,timestamp_utc,retraining_eligible
FLW_2026_0001,LOT_2026_0089,0ee3e6a705687050d702d39df30ef024882a45a1c310398ec04e767d5c2fc9b6,CAT_MOTORS,0.906,CAT_CRT,mr,CORRECTED_BY_COLLECTOR,2025-12-05T00:00:00+00:00,True
FLW_2026_0002,LOT_2026_0006,a796a163ac62bb7823e15f77f972889ef60700a5cbebe9855d24b5391c49152a,CAT_OTHER,0.661,CAT_OTHER,mr,ACCEPTED_AS_SUGGESTED,2026-02-08T00:00:00+00:00,True
FLW_2026_0003,LOT_2026_0012,9b16e118368b9fb97c78bcad679a95c941b83c8c80d0777e990185830307fb6c,CAT_OTHER,0.959,CAT_CABLES,mr,CORRECTED_BY_COLLECTOR,2026-02-16T00:00:00+00:00,True
FLW_2026_0004,LOT_2026_0014,977e70e18d2b770253a66181e0298ff2756a2e2bb70947a71b0945d425439dbb,CAT_LCD_LED,0.693,CAT_LCD_LED,hi,ACCEPTED_AS_SUGGESTED,2025-10-03T00:00:00+00:00,True
FLW_2026_0005,LOT_2026_0001,ca45686e20d823d63e8c008435078eeb1ca0c7ce6c517add51f20e11c6ea54be,CAT_LCD_LED,0.885,CAT_LCD_LED,hi,ACCEPTED_AS_SUGGESTED,2025-11-21T00:00:00+00:00,True
FLW_2026_0006,LOT_2026_0028,d301b75dddacfcd32f2edfee42b4af41c5d9549008c8b83ae2907e54d4b34d67,CAT_LCD_LED,0.691,CAT_LCD_LED,mr,ACCEPTED_AS_SUGGESTED,2026-01-14T00:00:00+00:00,True
FLW_2026_0007,LOT_2026_0044,eed69719839b449bc0d8570ea081d1546ce291437a6badf91e09d973011721f3,CAT_CRT,0.948,CAT_CRT,mr,ACCEPTED_AS_SUGGESTED,2025-12-22T00:00:00+00:00,True
FLW_2026_0008,LOT_2026_0044,d56d816d6409da92a73aafc55bca204e1b1e0a416975a610b5ceb19ecfaf82ba,CAT_OTHER,0.906,CAT_CRT,hi,CORRECTED_BY_COLLECTOR,2025-11-07T00:00:00+00:00,True
FLW_2026_0009,LOT_2026_0033,173412b7cbe72faaa92eed469e1b7191743d3f14393c713785635132041fec96,CAT_CRT,0.821,CAT_CRT,mr,ACCEPTED_AS_SUGGESTED,2025-10-14T00:00:00+00:00,True
FLW_2026_0010,LOT_2026_0037,0676c3f4acc2200dc03374ae8caf92225594760b9997243f536ffc324b1cd8bc,CAT_PCB,0.802,CAT_PCB,mr,ACCEPTED_AS_SUGGESTED,2026-02-25T00:00:00+00:00,True
FLW_2026_0011,LOT_2026_0030,38801e327dacbcae2f22446b86886e55ee5680f5e29c8892907431b0d03de35e,CAT_LCD_LED,0.63,CAT_LCD_LED,hi,ACCEPTED_AS_SUGGESTED,2025-12-28T00:00:00+00:00,True
