photo_id,target_class,category_name,file_path,location,camera_angle,lighting_condition,background,condition,date_captured,collector_present
FLD_P_0001,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_001.jpg,Kurla Scrap Yard,45_DEGREE_PERSPECTIVE,DIM_INTERIOR,CONCRETE_FLOOR,DAMAGED,2025-11-14,True
FLD_P_0002,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_002.jpg,Dharavi Aggregator Shed 4,CLOSEUP_LABEL,OUTDOOR_SUNLIGHT,BURLAP_SACK,STRIPPED,2025-11-14,True
FLD_P_0003,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_003.jpg,Bhosari PCMC Gate 2,TOP_DOWN,OUTDOOR_SUNLIGHT,CONCRETE_FLOOR,DAMAGED,2025-11-14,True
FLD_P_0004,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_004.jpg,Kurla Scrap Yard,45_DEGREE_PERSPECTIVE,DIM_INTERIOR,WEIGHING_SCALE,DIRTY,2025-11-14,True
FLD_P_0005,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_005.jpg,Nashik Sinnar Scrap Cluster,TOP_DOWN,OUTDOOR_SUNLIGHT,HEAPED_PILE,DAMAGED,2025-11-14,True
FLD_P_0006,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_006.jpg,Dharavi Aggregator Shed 4,45_DEGREE_PERSPECTIVE,OUTDOOR_SUNLIGHT,WEIGHING_SCALE,STRIPPED,2025-11-14,True
FLD_P_0007,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_007.jpg,Bhosari PCMC Gate 2,CLOSEUP_LABEL,OUTDOOR_SUNLIGHT,WEIGHING_SCALE,DIRTY,2025-11-14,True
FLD_P_0008,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_008.jpg,Nashik Sinnar Scrap Cluster,SCALE_READING,DIM_INTERIOR,HEAPED_PILE,DIRTY,2025-11-14,True
FLD_P_0009,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_009.jpg,Nashik Sinnar Scrap Cluster,SCALE_READING,SCRAP_SHED_SHADOW,WEIGHING_SCALE,DAMAGED,2025-11-14,True
FLD_P_0010,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_010.jpg,Nashik Sinnar Scrap Cluster,45_DEGREE_PERSPECTIVE,SCRAP_SHED_SHADOW,WEIGHING_SCALE,STRIPPED,2025-11-14,True
FLD_P_0011,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_011.jpg,Bhosari PCMC Gate 2,TOP_DOWN,DIM_INTERIOR,BURLAP_SACK,DAMAGED,2025-11-14,True
FLD_P_0012,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_012.jpg,Bhosari PCMC Gate 2,TOP_DOWN,DIM_INTERIOR,WEIGHING_SCALE,DAMAGED,2025-11-14,True
FLD_P_0013,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_013.jpg,Kurla Scrap Yard,45_DEGREE_PERSPECTIVE,SCRAP_SHED_SHADOW,CONCRETE_FLOOR,DAMAGED,2025-11-14,True
FLD_P_0014,CAT_CRT,CRT Monitors & TVs,ai_ml/field_research/classes/crt/crt_field_014.jpg,Nashik Sinnar Scrap Cluster,TOP_DOWN,DIM_INTERIOR,CONCRETE_FLOOR,STRIPPED,2025-11-14,True
FLD_P_0015,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_001.jpg,Nashik Sinnar Scrap Cluster,45_DEGREE_PERSPECTIVE,OUTDOOR_SUNLIGHT,WEIGHING_SCALE,DAMAGED,2025-11-14,True
FLD_P_0016,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_002.jpg,Bhosari PCMC Gate 2,SCALE_READING,SCRAP_SHED_SHADOW,WEIGHING_SCALE,DAMAGED,2025-11-14,True
FLD_P_0017,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_003.jpg,Dharavi Aggregator Shed 4,45_DEGREE_PERSPECTIVE,DIM_INTERIOR,HEAPED_PILE,INTACT,2025-11-14,True
FLD_P_0018,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_004.jpg,Dharavi Aggregator Shed 4,SCALE_READING,SCRAP_SHED_SHADOW,BURLAP_SACK,STRIPPED,2025-11-14,True
FLD_P_0019,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_005.jpg,Bhosari PCMC Gate 2,TOP_DOWN,DIM_INTERIOR,WEIGHING_SCALE,DIRTY,2025-11-14,True
FLD_P_0020,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_006.jpg,Kurla Scrap Yard,45_DEGREE_PERSPECTIVE,SCRAP_SHED_SHADOW,WEIGHING_SCALE,STRIPPED,2025-11-14,True
FLD_P_0021,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_007.jpg,Nashik Sinnar Scrap Cluster,TOP_DOWN,TUBE_LIGHT,WEIGHING_SCALE,STRIPPED,2025-11-14,True
FLD_P_0022,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_008.jpg,Nashik Sinnar Scrap Cluster,SCALE_READING,SCRAP_SHED_SHADOW,HEAPED_PILE,STRIPPED,2025-11-14,True
FLD_P_0023,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_009.jpg,Bhosari PCMC Gate 2,45_DEGREE_PERSPECTIVE,OUTDOOR_SUNLIGHT,HEAPED_PILE,STRIPPED,2025-11-14,True
FLD_P_0024,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_010.jpg,Kurla Scrap Yard,TOP_DOWN,OUTDOOR_SUNLIGHT,CONCRETE_FLOOR,DIRTY,2025-11-14,True
FLD_P_0025,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_011.jpg,Nashik Sinnar Scrap Cluster,TOP_DOWN,TUBE_LIGHT,HEAPED_PILE,STRIPPED,2025-11-14,True
FLD_P_0026,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_012.jpg,Nashik Sinnar Scrap Cluster,CLOSEUP_LABEL,TUBE_LIGHT,BURLAP_SACK,STRIPPED,2025-11-14,True
FLD_P_0027,CAT_LCD_LED,LCD / LED Panels,ai_ml/field_research/classes/lcd_led/lcd_led_field_013.jpg,Bhosari PCMC Gate 2,CLOSEUP_LABEL,OUTDOOR_SUNLIGHT,BURLAP_SACK,INTACT,2025-11-14,True
