cpcb_registration_no,facility_name,state_spcb,facility_address,latitude,longitude,authorized_capacity_mta,authorization_status,valid_from,valid_upto,epr_compliance_verified,authorized_waste_streams,contact_email,contact_phone
CPCB/EPR/2023/REC-MH-0012,Eco Recycling Limited (Ecoreco),Maharashtra Pollution Control Board (MPCB),"Plot No. 422, MIDC, Vasai East, Palghar, Maharashtra - 401208",19.3919,72.8397,31200,VALID,2023-01-01,2028-12-31,True,"CAT_CRT, CAT_LCD_LED, CAT_PCB, CAT_CABLES, CAT_BATTERY, CAT_MOTORS, CAT_PLASTICS, CAT_OTHER",info@ecoreco.com,+91-22-40052951
MPCB/RO(HQ)/E-Waste/2021/REC-0045,E-Incarnation Recycling Private Limited,Maharashtra Pollution Control Board (MPCB),"Plot B-14, Malegaon MIDC, Sinnar, Nashik, Maharashtra - 422113",19.8458,73.9926,12500,VALID,2023-01-01,2028-12-31,True,"CAT_LCD_LED, CAT_PCB, CAT_CABLES, CAT_BATTERY, CAT_MOTORS, CAT_OTHER",ops@e-incarnation.com,+91-253-2970142
CPCB/EPR/2022/REC-MH-0008,Attero Recycling Facility Hub,Maharashtra Pollution Control Board (MPCB),"TTC Industrial Area, MIDC Mahape, Navi Mumbai, Maharashtra - 400710",19.1171,73.0163,18000,VALID,2023-01-01,2028-12-31,True,"CAT_PCB, CAT_BATTERY, CAT_CABLES, CAT_LCD_LED",logistics.west@attero.in,+91-22-68341900
MPCB/E-Waste/2022/REC-0089,Recyclekaro (Envirocreation Pvt Ltd),Maharashtra Pollution Control Board (MPCB),"Plot No. 19/2, Taloja MIDC, Panvel, Raigad, Maharashtra - 410208",19.0682,73.1256,15000,VALID,2023-01-01,2028-12-31,True,"CAT_BATTERY, CAT_PCB, CAT_CABLES, CAT_MOTORS, CAT_OTHER",procurement@recyclekaro.com,+91-22-27410055
CPCB/EPR/2023/REC-MH-0034,Eco-Centric Remakers Private Limited,Maharashtra Pollution Control Board (MPCB),"Unit 401, Marol MIDC, Andheri East, Mumbai, Maharashtra - 400093",19.1197,72.8732,9800,VALID,2023-01-01,2028-12-31,True,"CAT_CRT, CAT_LCD_LED, CAT_PCB, CAT_PLASTICS, CAT_OTHER",collection@eco-centric.com,+91-22-49726200
MPCB/RO(HQ)/E-Waste/2023/REC-0112,Green Sense Technologies & Recyclers,Maharashtra Pollution Control Board (MPCB),"Sector 10, PCMC MIDC Bhosari, Pune, Maharashtra - 411026",18.6272,73.8436,8400,VALID,2023-01-01,2028-12-31,True,"CAT_PCB, CAT_LCD_LED, CAT_CABLES, CAT_BATTERY, CAT_MOTORS, CAT_PLASTICS",ewaste@greensense.co.in,+91-20-27128911
MPCB/RO(HQ)/E-Waste/2022/REC-0067,Vidarbha E-Waste Clean Solution,Maharashtra Pollution Control Board (MPCB),"Plot D-35, MIDC Butibori, Nagpur, Maharashtra - 441122",20.9234,78.9876,6200,VALID,2023-01-01,2028-12-31,True,"CAT_CRT, CAT_LCD_LED, CAT_PCB, CAT_CABLES, CAT_MOTORS, CAT_OTHER",contact@vidarbhaewaste.org,+91-7104-265118
MPCB/RO(HQ)/E-Waste/2023/DISM-0021,Thane Aggregator & Pre-Dismantler Hub,Maharashtra Pollution Control Board (MPCB),"Wagle Estate, Road No. 16, Thane West, Maharashtra - 400604",19.1944,72.9554,5500,VALID,2023-01-01,2028-12-31,True,"CAT_CRT, CAT_LCD_LED, CAT_PCB, CAT_CABLES, CAT_BATTERY, CAT_MOTORS, CAT_PLASTICS, CAT_OTHER",thane.hub@ewasteconnect.org,+91-22-25829103
CPCB/EPR/2022/REC-GJ-0015,E-Colleague Recycling India Pvt Ltd,Gujarat Pollution Control Board,"GIDC Ankleshwar, Bharuch, Gujarat - 393002",21.6264,73.0031,14000,VALID,2022-05-10,2027-05-09,True,"CAT_PCB, CAT_CABLES, CAT_BATTERY, CAT_LCD_LED",info@ecolleague.in,+91-2646-224411
CPCB/EPR/2021/REC-KA-0004,Cerebra Integrated Technologies Limited,Karnataka State Pollution Control Board,"KIADB Industrial Area, Narasapura, Kolar, Karnataka - 563133",13.1438,78.1887,40000,VALID,2021-04-01,2026-03-31,True,"CAT_CRT, CAT_LCD_LED, CAT_PCB, CAT_CABLES, CAT_BATTERY, CAT_MOTORS, CAT_PLASTICS, CAT_OTHER",ewaste@cerebracomputers.com,+91-80-22107777
