collector_id,preferred_language,operating_area,transaction_count,total_weight_kg,total_cash_earned_inr,pending_dues_inr,created_at
COL_MH_0001,mr,Thane - Wagle Estate / Kisan Nagar,38,164.8,9450.61,3100.0,2026-01-21T00:00:00+00:00
COL_MH_0002,mr,Pune - Pimpri Kaspate Vasti,21,511.0,23661.65,1200.0,2025-11-18T00:00:00+00:00
COL_MH_0003,mr,Thane - Wagle Estate / Kisan Nagar,31,1567.8,60014.25,2450.0,2025-11-29T00:00:00+00:00
COL_MH_0004,mr,Mumbai - Malad West Ward P/N,3,1443.1,70384.63,0.0,2025-12-19T00:00:00+00:00
COL_MH_0005,hi,Thane - Wagle Estate / Kisan Nagar,31,1637.1,109278.64,0.0,2025-09-02T00:00:00+00:00
COL_MH_0006,mr,Mumbai - Malad West Ward P/N,33,736.5,29224.87,2450.0,2026-01-24T00:00:00+00:00
COL_MH_0007,mr,Mumbai - Malad West Ward P/N,40,1571.1,79882.57,450.0,2026-01-28T00:00:00+00:00
COL_MH_0008,mr,Mumbai - Kurla West Ward L,34,597.0,44291.63,0.0,2026-01-23T00:00:00+00:00
COL_MH_0009,mr,Pune - Pimpri Kaspate Vasti,11,679.5,28346.3,0.0,2025-11-23T00:00:00+00:00
COL_MH_0010,mr,Pune - Swargate / Bhavani Peth,36,1219.0,56514.2,0.0,2025-11-19T00:00:00+00:00
COL_MH_0011,mr,Mumbai - Govandi / Mankhurd,18,715.4,51675.99,3100.0,2025-09-13T00:00:00+00:00
COL_MH_0012,hi,Mumbai - Malad West Ward P/N,6,1127.1,51576.4,1200.0,2025-06-05T00:00:00+00:00
COL_MH_0013,mr,Mumbai - Malad West Ward P/N,39,1117.0,36738.33,2450.0,2025-11-21T00:00:00+00:00
COL_MH_0014,hi,Nagpur - Sitabuldi / Cotton Market,14,263.4,16451.5,1200.0,2025-07-16T00:00:00+00:00
COL_MH_0015,mr,Nagpur - Sitabuldi / Cotton Market,42,1170.2,59386.8,1200.0,2025-07-06T00:00:00+00:00
COL_MH_0016,mr,Nashik - Old CBS / Panchavati,30,1387.9,106890.24,2450.0,2026-02-12T00:00:00+00:00
COL_MH_0017,mr,Thane - Wagle Estate / Kisan Nagar,38,1398.5,52118.58,2450.0,2025-09-10T00:00:00+00:00
COL_MH_0018,mr,Nagpur - Sitabuldi / Cotton Market,6,646.5,21574.26,450.0,2025-08-09T00:00:00+00:00
COL_MH_0019,mr,Pune - Swargate / Bhavani Peth,18,1084.4,73494.19,450.0,2025-06-11T00:00:00+00:00
COL_MH_0020,mr,Mumbai - Dharavi Ward G/N,21,405.7,18042.54,0.0,2026-02-15T00:00:00+00:00
COL_MH_0021,mr,Mumbai - Govandi / Mankhurd,36,1066.7,71660.44,0.0,2025-10-21T00:00:00+00:00
COL_MH_0022,hi,Mumbai - Malad West Ward P/N,31,680.5,24509.21,1200.0,2025-12-11T00:00:00+00:00
COL_MH_0023,mr,Pune - Hadapsar Industrial,22,1683.5,70485.76,450.0,2025-11-01T00:00:00+00:00
COL_MH_0024,mr,Pune - Pimpri Kaspate Vasti,18,803.1,36387.95,1200.0,2025-07-16T00:00:00+00:00
COL_MH_0025,hi,Mumbai - Dharavi Ward G/N,22,1175.5,87071.69,0.0,2025-09-18T00:00:00+00:00
COL_MH_0026,mr,Mumbai - Kurla West Ward L,33,615.8,21398.08,2450.0,2025-10-31T00:00:00+00:00
COL_MH_0027,mr,Thane - Wagle Estate / Kisan Nagar,20,534.8,40045.12,0.0,2025-11-09T00:00:00+00:00
COL_MH_0028,mr,Mumbai - Kurla West Ward L,10,709.7,37650.93,0.0,2025-07-19T00:00:00+00:00
COL_MH_0029,hi,Mumbai - Dharavi Ward G/N,38,1702.4,130961.31,3100.0,2026-01-24T00:00:00+00:00
COL_MH_0030,mr,Mumbai - Malad West Ward P/N,18,789.3,39404.94,3100.0,2025-09-10T00:00:00+00:00
COL_MH_0031,hi,Mumbai - Dharavi Ward G/N,14,1789.2,65027.99,450.0,2025-09-08T00:00:00+00:00
COL_MH_0032,mr,Nagpur - Itwari Scrap Yard,40,1501.2,103474.68,3100.0,2025-07-14T00:00:00+00:00
COL_MH_0033,mr,Thane - Mumbra / Diva,26,1007.1,49416.5,3100.0,2025-09-08T00:00:00+00:00
COL_MH_0034,mr,Nagpur - Itwari Scrap Yard,37,364.5,16505.39,1200.0,2026-02-11T00:00:00+00:00
COL_MH_0035,hi,Nashik - Old CBS / Panchavati,18,1772.2,98371.91,450.0,2025-12-30T00:00:00+00:00
COL_MH_0036,mr,Pune - Pimpri Kaspate Vasti,16,369.3,19714.36,1200.0,2026-01-23T00:00:00+00:00
COL_MH_0037,hi,Mumbai - Kurla West Ward L,20,293.2,20425.91,0.0,2025-07-18T00:00:00+00:00
COL_MH_0038,mr,Pune - Swargate / Bhavani Peth,36,290.6,14730.48,3100.0,2025-07-18T00:00:00+00:00
COL_MH_0039,hi,Mumbai - Malad West Ward P/N,20,1313.0,101230.3,3100.0,2025-11-10T00:00:00+00:00
COL_MH_0040,mr,Mumbai - Malad West Ward P/N,6,1596.4,78756.8,0.0,2026-02-01T00:00:00+00:00
