material_id,category_id,category_name_en,category_name_mr,category_name_hi,sub_category,material_description,image_reference,approximate_weight_kg,condition,source_type,hazard_level,estimated_value_per_kg,unit
MAT_0001,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Color Television CRT Tube,14 to 21 inch television glass picture tube with lead funnel,assets/materials/cat_crt_0001.jpg,16.5,INTACT,COMMERCIAL_OFFICE,HIGH,14.0,kg
MAT_0002,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Color Television CRT Tube,14 to 21 inch television glass picture tube with lead funnel,assets/materials/cat_crt_0002.jpg,16.5,DAMAGED,INFORMAL_KABADIWALA,HIGH,11.9,kg
MAT_0003,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Color Television CRT Tube,14 to 21 inch television glass picture tube with lead funnel,assets/materials/cat_crt_0003.jpg,16.5,PARTIALLY_STRIPPED,HOUSEHOLD_COLLECTION,HIGH,10.5,kg
MAT_0004,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Color Television CRT Tube,14 to 21 inch television glass picture tube with lead funnel,assets/materials/cat_crt_0004.jpg,16.5,SCRAP_BULK,HOUSEHOLD_COLLECTION,HIGH,10.5,kg
MAT_0005,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Computer Monitor CRT,15 to 17 inch desktop monitor cathode ray tube,assets/materials/cat_crt_0005.jpg,13.0,INTACT,HOUSEHOLD_COLLECTION,HIGH,12.0,kg
MAT_0006,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Computer Monitor CRT,15 to 17 inch desktop monitor cathode ray tube,assets/materials/cat_crt_0006.jpg,13.0,DAMAGED,HOUSEHOLD_COLLECTION,HIGH,10.2,kg
MAT_0007,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Computer Monitor CRT,15 to 17 inch desktop monitor cathode ray tube,assets/materials/cat_crt_0007.jpg,13.0,PARTIALLY_STRIPPED,HOUSEHOLD_COLLECTION,HIGH,9.0,kg
MAT_0008,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Computer Monitor CRT,15 to 17 inch desktop monitor cathode ray tube,assets/materials/cat_crt_0008.jpg,13.0,SCRAP_BULK,COMMERCIAL_OFFICE,HIGH,9.0,kg
MAT_0009,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Large Screen TV CRT (29-inch),Heavy commercial television cathode ray tube,assets/materials/cat_crt_0009.jpg,28.0,INTACT,INFORMAL_KABADIWALA,HIGH,15.0,kg
MAT_0010,CAT_CRT,CRT Monitors & TVs,सीआरटी मॉनिटर आणि टीव्ही,सीआरटी मॉनिटर और टीवी,Large Screen TV CRT (29-inch),Heavy commercial television cathode ray tube,assets/materials/cat_crt_0010.jpg,28.0,DAMAGED,HOUSEHOLD_COLLECTION,HIGH,12.75,kg
