price_id,category_id,sub_category,location,recorded_at,prevailing_buying_price,selling_quoted_price,unit_of_measurement,market_range_min,market_range_max,recycler_id,source_type
PRC_00001,CAT_CRT,Standard CRT Monitors & TVs,Mumbai - Dharavi Hub,2025-11-02T00:00:00+00:00,12.51,23.3,kg,11.26,26.79,N/A,field
PRC_00002,CAT_CRT,Standard CRT Monitors & TVs,Mumbai - Dharavi Hub,2026-01-29T00:00:00+00:00,15.21,25.51,kg,13.69,29.34,REC_MH_THANE_AGGR_008,recycler
PRC_00003,CAT_CRT,Standard CRT Monitors & TVs,Mumbai - Dharavi Hub,2026-01-26T00:00:00+00:00,14.09,21.7,kg,12.68,24.95,N/A,synthetic
PRC_00004,CAT_CRT,Standard CRT Monitors & TVs,Mumbai - Kurla Industrial,2026-01-10T00:00:00+00:00,14.89,19.7,kg,13.4,22.65,N/A,field
PRC_00005,CAT_CRT,Standard CRT Monitors & TVs,Mumbai - Kurla Industrial,2026-01-22T00:00:00+00:00,15.82,23.02,kg,14.24,26.47,REC_MH_ECORECO_001,recycler
PRC_00006,CAT_CRT,Standard CRT Monitors & TVs,Mumbai - Kurla Industrial,2025-11-11T00:00:00+00:00,16.49,25.85,kg,14.84,29.73,N/A,synthetic
PRC_00007,CAT_CRT,Standard CRT Monitors & TVs,Navi Mumbai - TTC Mahape,2025-12-07T00:00:00+00:00,12.08,21.8,kg,10.87,25.07,N/A,field
PRC_00008,CAT_CRT,Standard CRT Monitors & TVs,Navi Mumbai - TTC Mahape,2025-12-31T00:00:00+00:00,15.55,26.83,kg,14.0,30.85,REC_MH_NAGPUR_CLEAN_007,recycler
PRC_00009,CAT_CRT,Standard CRT Monitors & TVs,Navi Mumbai - TTC Mahape,2025-09-19T00:00:00+00:00,13.7,22.36,kg,12.33,25.71,N/A,synthetic
PRC_00010,CAT_CRT,Standard CRT Monitors & TVs,Thane - Wagle Estate,2025-11-10T00:00:00+00:00,15.25,22.15,kg,13.72,25.47,N/A,field
PRC_00011,CAT_CRT,Standard CRT Monitors & TVs,Thane - Wagle Estate,2025-10-05T00:00:00+00:00,15.58,24.96,kg,14.02,28.7,REC_MH_ECORECO_001,recycler
PRC_00012,CAT_CRT,Standard CRT Monitors & TVs,Thane - Wagle Estate,2025-10-08T00:00:00+00:00,12.73,26.35,kg,11.46,30.3,N/A,synthetic
PRC_00013,CAT_CRT,Standard CRT Monitors & TVs,Pune - Bhosari MIDC,2025-12-27T00:00:00+00:00,15.48,23.73,kg,13.93,27.29,N/A,field
PRC_00014,CAT_CRT,Standard CRT Monitors & TVs,Pune - Bhosari MIDC,2025-09-14T00:00:00+00:00,16.98,23.63,kg,15.28,27.17,REC_MH_ECORECO_001,recycler
PRC_00015,CAT_CRT,Standard CRT Monitors & TVs,Pune - Bhosari MIDC,2025-10-27T00:00:00+00:00,13.11,22.92,kg,11.8,26.36,N/A,synthetic
PRC_00016,CAT_CRT,Standard CRT Monitors & TVs,Pune - Swargate,2026-02-13T00:00:00+00:00,13.9,17.06,kg,12.51,19.62,N/A,field
PRC_00017,CAT_CRT,Standard CRT Monitors & TVs,Pune - Swargate,2026-01-16T00:00:00+00:00,15.14,26.32,kg,13.63,30.27,REC_MH_THANE_AGGR_008,recycler
PRC_00018,CAT_CRT,Standard CRT Monitors & TVs,Pune - Swargate,2025-11-29T00:00:00+00:00,12.53,23.51,kg,11.28,27.04,N/A,synthetic
PRC_00019,CAT_CRT,Standard CRT Monitors & TVs,Nashik - Sinnar MIDC,2025-11-04T00:00:00+00:00,11.88,23.16,kg,10.69,26.63,N/A,field
PRC_00020,CAT_CRT,Standard CRT Monitors & TVs,Nashik - Sinnar MIDC,2025-10-20T00:00:00+00:00,17.93,22.34,kg,16.14,25.69,REC_MH_THANE_AGGR_008,recycler
PRC_00021,CAT_CRT,Standard CRT Monitors & TVs,Nashik - Sinnar MIDC,2025-10-01T00:00:00+00:00,15.77,20.68,kg,14.19,23.78,N/A,synthetic
PRC_00022,CAT_CRT,Standard CRT Monitors & TVs,Nagpur - Butibori MIDC,2026-01-27T00:00:00+00:00,12.6,18.63,kg,11.34,21.42,N/A,field
PRC_00023,CAT_CRT,Standard CRT Monitors & TVs,Nagpur - Butibori MIDC,2025-11-27T00:00:00+00:00,15.44,28.64,kg,13.9,32.94,REC_MH_ECOCENTRIC_005,recycler
PRC_00024,CAT_CRT,Standard CRT Monitors & TVs,Nagpur - Butibori MIDC,2025-11-15T00:00:00+00:00,16.72,24.46,kg,15.05,28.13,N/A,synthetic
PRC_00025,CAT_LCD_LED,Standard LCD / LED Panels,Mumbai - Dharavi Hub,2025-10-04T00:00:00+00:00,36.21,54.37,kg,32.59,62.53,N/A,field
PRC_00026,CAT_LCD_LED,Standard LCD / LED Panels,Mumbai - Dharavi Hub,2025-11-17T00:00:00+00:00,42.02,59.22,kg,37.82,68.1,REC_MH_ECORECO_001,recycler
PRC_00027,CAT_LCD_LED,Standard LCD / LED Panels,Mumbai - Dharavi Hub,2025-11-16T00:00:00+00:00,38.03,56.2,kg,34.23,64.63,N/A,synthetic
PRC_00028,CAT_LCD_LED,Standard LCD / LED Panels,Mumbai - Kurla Industrial,2026-02-22T00:00:00+00:00,36.24,51.72,kg,32.62,59.48,N/A,field
PRC_00029,CAT_LCD_LED,Standard LCD / LED Panels,Mumbai - Kurla Industrial,2025-10-01T00:00:00+00:00,42.81,58.05,kg,38.53,66.76,REC_MH_ATTERO_003,recycler
PRC_00030,CAT_LCD_LED,Standard LCD / LED Panels,Mumbai - Kurla Industrial,2025-09-30T00:00:00+00:00,41.1,59.28,kg,36.99,68.17,N/A,synthetic
PRC_00031,CAT_LCD_LED,Standard LCD / LED Panels,Navi Mumbai - TTC Mahape,2025-10-17T00:00:00+00:00,37.47,54.47,kg,33.72,62.64,N/A,field
PRC_00032,CAT_LCD_LED,Standard LCD / LED Panels,Navi Mumbai - TTC Mahape,2025-11-24T00:00:00+00:00,39.18,59.14,kg,35.26,68.01,REC_MH_EINCARNATION_002,recycler
PRC_00033,CAT_LCD_LED,Standard LCD / LED Panels,Navi Mumbai - TTC Mahape,2026-03-10T00:00:00+00:00,37.69,59.26,kg,33.92,68.15,N/A,synthetic
PRC_00034,CAT_LCD_LED,Standard LCD / LED Panels,Thane - Wagle Estate,2025-09-19T00:00:00+00:00,38.08,51.23,kg,34.27,58.91,N/A,field
PRC_00035,CAT_LCD_LED,Standard LCD / LED Panels,Thane - Wagle Estate,2025-12-17T00:00:00+00:00,39.41,58.68,kg,35.47,67.48,REC_MH_THANE_AGGR_008,recycler
PRC_00036,CAT_LCD_LED,Standard LCD / LED Panels,Thane - Wagle Estate,2025-12-07T00:00:00+00:00,41.42,58.48,kg,37.28,67.25,N/A,synthetic
PRC_00037,CAT_LCD_LED,Standard LCD / LED Panels,Pune - Bhosari MIDC,2026-02-09T00:00:00+00:00,37.85,56.35,kg,34.07,64.8,N/A,field
PRC_00038,CAT_LCD_LED,Standard LCD / LED Panels,Pune - Bhosari MIDC,2025-12-07T00:00:00+00:00,42.68,55.77,kg,38.41,64.14,REC_MH_ECOCENTRIC_005,recycler
PRC_00039,CAT_LCD_LED,Standard LCD / LED Panels,Pune - Bhosari MIDC,2025-12-05T00:00:00+00:00,39.48,53.17,kg,35.53,61.15,N/A,synthetic
PRC_00040,CAT_LCD_LED,Standard LCD / LED Panels,Pune - Swargate,2025-12-21T00:00:00+00:00,35.32,53.33,kg,31.79,61.33,N/A,field
PRC_00041,CAT_LCD_LED,Standard LCD / LED Panels,Pune - Swargate,2025-10-02T00:00:00+00:00,42.85,56.33,kg,38.57,64.78,REC_MH_THANE_AGGR_008,recycler
PRC_00042,CAT_LCD_LED,Standard LCD / LED Panels,Pune - Swargate,2025-12-31T00:00:00+00:00,37.0,54.07,kg,33.3,62.18,N/A,synthetic
PRC_00043,CAT_LCD_LED,Standard LCD / LED Panels,Nashik - Sinnar MIDC,2026-01-05T00:00:00+00:00,36.8,51.95,kg,33.12,59.74,N/A,field
PRC_00044,CAT_LCD_LED,Standard LCD / LED Panels,Nashik - Sinnar MIDC,2026-02-12T00:00:00+00:00,42.49,60.45,kg,38.24,69.52,REC_MH_EINCARNATION_002,recycler
PRC_00045,CAT_LCD_LED,Standard LCD / LED Panels,Nashik - Sinnar MIDC,2026-01-01T00:00:00+00:00,39.74,59.22,kg,35.77,68.1,N/A,synthetic
PRC_00046,CAT_LCD_LED,Standard LCD / LED Panels,Nagpur - Butibori MIDC,2025-10-31T00:00:00+00:00,34.62,55.42,kg,31.16,63.73,N/A,field
PRC_00047,CAT_LCD_LED,Standard LCD / LED Panels,Nagpur - Butibori MIDC,2025-10-31T00:00:00+00:00,43.04,56.31,kg,38.74,64.76,REC_MH_ECOCENTRIC_005,recycler
PRC_00048,CAT_LCD_LED,Standard LCD / LED Panels,Nagpur - Butibori MIDC,2025-11-26T00:00:00+00:00,37.51,53.03,kg,33.76,60.98,N/A,synthetic
PRC_00049,CAT_PCB,Standard Printed Circuit Boards (PCBs),Mumbai - Dharavi Hub,2025-11-17T00:00:00+00:00,179.61,261.22,kg,161.65,300.4,N/A,field
PRC_00050,CAT_PCB,Standard Printed Circuit Boards (PCBs),Mumbai - Dharavi Hub,2026-01-09T00:00:00+00:00,182.09,266.41,kg,163.88,306.37,REC_MH_RECYCLEKARO_004,recycler
PRC_00051,CAT_PCB,Standard Printed Circuit Boards (PCBs),Mumbai - Dharavi Hub,2026-02-06T00:00:00+00:00,178.79,260.68,kg,160.91,299.78,N/A,synthetic
PRC_00052,CAT_PCB,Standard Printed Circuit Boards (PCBs),Mumbai - Kurla Industrial,2026-01-21T00:00:00+00:00,178.66,258.02,kg,160.79,296.72,N/A,field
PRC_00053,CAT_PCB,Standard Printed Circuit Boards (PCBs),Mumbai - Kurla Industrial,2025-12-08T00:00:00+00:00,181.02,262.08,kg,162.92,301.39,REC_MH_EINCARNATION_002,recycler
PRC_00054,CAT_PCB,Standard Printed Circuit Boards (PCBs),Mumbai - Kurla Industrial,2025-12-15T00:00:00+00:00,180.51,259.98,kg,162.46,298.98,N/A,synthetic
PRC_00055,CAT_PCB,Standard Printed Circuit Boards (PCBs),Navi Mumbai - TTC Mahape,2026-02-17T00:00:00+00:00,179.83,257.63,kg,161.85,296.27,N/A,field
PRC_00056,CAT_PCB,Standard Printed Circuit Boards (PCBs),Navi Mumbai - TTC Mahape,2025-11-02T00:00:00+00:00,182.55,263.46,kg,164.3,302.98,REC_MH_PUNE_GREEN_006,recycler
PRC_00057,CAT_PCB,Standard Printed Circuit Boards (PCBs),Navi Mumbai - TTC Mahape,2026-03-08T00:00:00+00:00,181.43,262.71,kg,163.29,302.12,N/A,synthetic
