unique_lot_id,short_code,photograph_ref,photo_sha256,weight_at_collection_kg,weight_at_handover_kg,timestamp_utc,gps_latitude,gps_longitude,handover_reference_number,recycler_confirmation,record_hash_sha256,subsequent_transaction_status
LOT_2026_0001,2452BB,photos/lots/LOT_2026_0001_proof.jpg,0b2d75cf5b7f5c5850e6937ce5535feec2ae3725f1a40fb2c292b5a0f44eee9a,13.44,13.29,2025-12-14T08:00:00+00:00,19.1482,73.0504,HND-2452BB-929,CONFIRMED,a79116a16686763e917c0536699ad9a9586e383a917fca53f6cbb1344cad0c22,EPR_CREDIT_ISSUED
LOT_2026_0002,C5696E,photos/lots/LOT_2026_0002_proof.jpg,e608a6c3eb1a57acb9ba3d4b59bd4026e8281fb1ee1d5de1b88281e15a94160b,39.77,39.23,2026-01-23T11:00:00+00:00,19.1296,72.937,HND-C5696E-328,CONFIRMED,775bfc26220e65961dca5a8d1fba9be24c76d099a5dd7419415ee4a420c2473a,ACCEPTED_FOR_DISMANTLING
LOT_2026_0003,09B64F,photos/lots/LOT_2026_0003_proof.jpg,42dd899c17792674abc1c4b2b4097ef2a2fd7c2e350a3fe1f17ffe9463a215f0,14.12,14.0,2025-11-10T06:00:00+00:00,19.3112,72.9522,HND-09B64F-782,CONFIRMED,ab6f6a208691f89cfef5279d10c3a8c8d879f2b3c45c63ff24c59efb5efaf5cf,ACCEPTED_FOR_DISMANTLING
LOT_2026_0004,C42077,photos/lots/LOT_2026_0004_proof.jpg,175476c4d92787001312d954a869c19a27528b1890e2a036a5281728df156a42,45.74,45.05,2025-09-06T05:00:00+00:00,19.3801,73.0295,HND-C42077-630,CONFIRMED,37044ae7e9172ffa2479bebfbde6e5b473608eab1c48f50887f41dfbcd155e4b,ACCEPTED_FOR_DISMANTLING
LOT_2026_0005,97587D,photos/lots/LOT_2026_0005_proof.jpg,609dc346b6619a2028664dbd8a47aa0a4a3fbba68c0a778d72ccbe65039193d2,61.3,61.05,2025-08-28T10:00:00+00:00,19.2919,72.9213,HND-97587D-971,CONFIRMED,470165c49eef79a76e49df703e3a3c253b6da4c5c222921dcaa060ec372df6bd,ACCEPTED_FOR_DISMANTLING
LOT_2026_0006,EDA87C,photos/lots/LOT_2026_0006_proof.jpg,1b4af56047c5d9e29eee9c517e888bb5e700735a0f9112edc3c081b81e08cd48,32.51,32.59,2025-12-08T11:00:00+00:00,19.3977,73.0749,HND-EDA87C-173,CONFIRMED,2992907de0b78176170e0afbcdc461326245f20c821c7139f77d056552e978cc,EPR_CREDIT_ISSUED
LOT_2026_0007,D38988,photos/lots/LOT_2026_0007_proof.jpg,8cd86ddc1d4c30386fbe2ad7a67e441c8b1bd11aa9c30358613da03b530b434f,17.9,17.74,2026-02-15T03:00:00+00:00,19.2202,72.9446,HND-D38988-818,CONFIRMED,5df680419f2da05f683b21fd0c8b9cb4547bf545aead2dcfa45feaf657657cc7,ACCEPTED_FOR_DISMANTLING
LOT_2026_0008,64C2EA,photos/lots/LOT_2026_0008_proof.jpg,0a4c233cdc160847a10562193084c610bfda80e68970647cc80a61b09cb615c3,47.65,47.03,2025-08-04T09:00:00+00:00,19.2933,73.0516,HND-64C2EA-939,CONFIRMED,6d6593b0d84c47ada5d8ae588346d6860f9aab9af9389fc1b72d6b6776091478,EPR_CREDIT_ISSUED
LOT_2026_0009,A4F2EE,photos/lots/LOT_2026_0009_proof.jpg,8fa881c546492f6b0eb80cb53a0f6ba87af9ae0237d64251c56db2f0deae2541,32.21,32.27,2025-08-29T01:00:00+00:00,19.1085,73.015,HND-A4F2EE-737,CONFIRMED,077e2336dddf02f2251828f9f75775ba116e0d198c011eb14aa7f44da5446808,EPR_CREDIT_ISSUED
LOT_2026_0010,0623F7,photos/lots/LOT_2026_0010_proof.jpg,83fa59acd6a2485349dc17bc1d87d17c6a051b755491edf8a9dfb4138b525e27,34.61,34.31,2025-10-11T07:00:00+00:00,19.2951,72.9926,HND-0623F7-136,CONFIRMED,48e7b07ea7a5743a21df813f5aac6598278c7887b853d77a39c6c9281838c2d4,ACCEPTED_FOR_DISMANTLING
LOT_2026_0011,E1A804,photos/lots/LOT_2026_0011_proof.jpg,eba4ed165a74f43e29250ebcd03bc5eec2f98910f701ada9e73a474fc37d8a64,21.18,20.84,2025-10-13T08:00:00+00:00,19.238,72.9389,HND-E1A804-889,CONFIRMED,7125a9cdc758e252e8e34d844249f99d1751dd6c8cfa3790f7b93005dfbff4d1,ACCEPTED_FOR_DISMANTLING
LOT_2026_0012,C37C0B,photos/lots/LOT_2026_0012_proof.jpg,5bc3994dddf34fc58797ff57298863a966eb2b1789bca492f222470488e4904c,61.73,61.8,2025-12-05T01:00:00+00:00,19.171,73.052,HND-C37C0B-722,CONFIRMED,5defe92510bbeab5925c12315c9e9a5dad4e10f00970a7558ea7f3eb980278a7,ACCEPTED_FOR_DISMANTLING
LOT_2026_0013,14B36E,photos/lots/LOT_2026_0013_proof.jpg,72602c36d8217df3d253240d14037b5dc4427dee821354cb5c8e990573c9939f,36.05,35.88,2025-10-14T08:00:00+00:00,19.0694,73.0853,HND-14B36E-142,CONFIRMED,eb0b40cd6aa2dde5b865ae95df5c91c4e8c4cc9f0fa1db78278d0b1d79485f67,EPR_CREDIT_ISSUED
LOT_2026_0014,73C052,photos/lots/LOT_2026_0014_proof.jpg,1a74dc8bf28a669a2a8cc695cb2bb7a1b855dfd403c908444a348206f902eb2e,19.38,19.39,2025-09-14T01:00:00+00:00,19.3846,72.98,HND-73C052-577,CONFIRMED,6ecc30fecac526f86695010677876e5921c34d9b471bca74a337168e6d7f73fb,ACCEPTED_FOR_DISMANTLING
LOT_2026_0015,E40186,photos/lots/LOT_2026_0015_proof.jpg,37996877ad77e1823ac02fd940d8ba52a1994b0bcf26bc71b9b8dd9735d49ce0,48.18,48.23,2025-12-16T08:00:00+00:00,19.1886,73.0025,HND-E40186-741,CONFIRMED,2ab2c8361048efc3b8019c5692b0e8f1ef023695b49017cfec1c71b970b8ebc0,EPR_CREDIT_ISSUED
LOT_2026_0016,2C51B0,photos/lots/LOT_2026_0016_proof.jpg,85840ab43548a1a81b54e20f8a56aa5a6776d80e7c8aceb937497be9c3e6524a,20.92,20.59,2025-12-13T09:00:00+00:00,19.2395,72.9374,HND-2C51B0-477,CONFIRMED,5262aae61857230ca5f547575614f21b18131e7275599853a7fff8ce39c27b47,ACCEPTED_FOR_DISMANTLING
LOT_2026_0017,562962,photos/lots/LOT_2026_0017_proof.jpg,44b9e3874e1fcd9725235ecc8129e723660a24e9611cb59e82183e5aa22e5004,43.01,42.5,2026-03-03T07:00:00+00:00,19.3777,72.8884,HND-562962-615,CONFIRMED,3b3376021c5ea32e2fc7f318b11b3fbdb08a197917e20f6d1bbda67afdbd5ae6,EPR_CREDIT_ISSUED
LOT_2026_0018,7E3435,photos/lots/LOT_2026_0018_proof.jpg,5a23f4d51e6a2e3544a5e574ac12da050ec16d8c8850274ad8993c14ebe94005,63.17,63.64,2026-02-26T12:00:00+00:00,19.1745,72.8733,HND-7E3435-893,CONFIRMED,242b3ee64f8c0891686d3b9e913bf724e7091530b2caef5286376b18ea959b8d,EPR_CREDIT_ISSUED
LOT_2026_0019,DB4588,photos/lots/LOT_2026_0019_proof.jpg,8a47e84e763c95e60af77f0b4580fb5de24db83df44e1a43c11e26a5bd2ed60f,25.2,24.96,2026-02-17T08:00:00+00:00,19.1546,72.9642,HND-DB4588-744,CONFIRMED,5ac01be69b1ec2b78a99565c348eaf2571cc5ca466cae3f7755e701d435ac041,EPR_CREDIT_ISSUED
LOT_2026_0020,83B85B,photos/lots/LOT_2026_0020_proof.jpg,9ec3f19dbbf9fcaa9e8b6fc8cd761f16fbd3130afbfc092aa5c2226ae2e38a81,44.08,43.45,2025-12-07T06:00:00+00:00,19.1123,72.8648,HND-83B85B-886,CONFIRMED,4dce65f9b601487b46bc80403ec8a2433dd6626b24be228ad2197fceec992fa1,EPR_CREDIT_ISSUED
LOT_2026_0021,E2215D,photos/lots/LOT_2026_0021_proof.jpg,7b5429274a45d1a85a78c3ce3ece36a60ef755262a2bcb6733fe6ae0e813cb54,19.72,19.82,2026-01-28T07:00:00+00:00,19.0708,73.0838,HND-E2215D-622,CONFIRMED,ae723655854da1d9d7e8145eda70253e3e92cd7caf14c2380584f7b27f2dd719,EPR_CREDIT_ISSUED
LOT_2026_0022,FE5372,photos/lots/LOT_2026_0022_proof.jpg,5de62d2a9205fb493671b7b2258646e096c7bd84d6802847abc8388798d928a8,53.57,53.25,2025-12-04T02:00:00+00:00,19.3799,72.8933,HND-FE5372-320,CONFIRMED,f5ea31db65b1d3c76d24f196cdfcb208e2890e7e3f477eaa5264c037d773ddd0,EPR_CREDIT_ISSUED
LOT_2026_0023,DAA537,photos/lots/LOT_2026_0023_proof.jpg,6c1ef0d4b1a8589bde4bf84dec3239bcbe7c437b29e9656b84910e8df2124a6b,26.14,26.05,2025-08-12T09:00:00+00:00,19.3911,73.0159,HND-DAA537-330,CONFIRMED,066b85ac31b2b9a392bfd5246ada1c1969565008fc62d2b97e960731a4fe5aaf,ACCEPTED_FOR_DISMANTLING
LOT_2026_0024,E4C883,photos/lots/LOT_2026_0024_proof.jpg,7ebfbe174495483480a104a344ab109ac20502cee032b6e5709f460841a39e65,23.28,23.39,2025-12-10T08:00:00+00:00,19.0721,73.0473,HND-E4C883-707,CONFIRMED,4554c2fb6e61b24e814cffda64c292133b17595a2a299281bcf0f2010b0529af,EPR_CREDIT_ISSUED
LOT_2026_0025,77730A,photos/lots/LOT_2026_0025_proof.jpg,ba6f993e10f096cd271b08c50ef520694edb1c0c7e4119111a563f7cab01bd16,58.47,58.53,2025-08-11T08:00:00+00:00,19.0624,72.9169,HND-77730A-604,CONFIRMED,d1af0174911fbaa927803ab084aa9d40e7be73c524b0d61ea997ba3aa39908ce,EPR_CREDIT_ISSUED
LOT_2026_0026,DEDC83,photos/lots/LOT_2026_0026_proof.jpg,21726f4d30c6df8fcdc92e0f5f0eadcb37e559ed768e1141f3d39cf9dee4c843,45.83,45.21,2025-12-02T02:00:00+00:00,19.3671,72.9777,HND-DEDC83-310,CONFIRMED,819fadae0bcc1fb37f03a42d185aaf88f192f0aad3ef64a1e9e44bac6bdf6af2,EPR_CREDIT_ISSUED
LOT_2026_0027,81A1D8,photos/lots/LOT_2026_0027_proof.jpg,c53a812e3f44b25317e7963415d666f0e59502ab02313c20058b01d955cd34d3,21.33,21.48,2025-08-08T02:00:00+00:00,19.0854,72.928,HND-81A1D8-100,CONFIRMED,52df04db73da0228bad9d6ce5dd58a7d2b9211275d4d670bb10462862217d3a1,ACCEPTED_FOR_DISMANTLING
LOT_2026_0028,29EE26,photos/lots/LOT_2026_0028_proof.jpg,800b4dcb4ac74be666b9db2bb6467b542b5ec64d2939c3cf74c9e249cc1b1b72,14.81,14.83,2025-10-11T12:00:00+00:00,19.302,73.0713,HND-29EE26-391,CONFIRMED,f8af38edae3faae6728b6c0ebc7160f5ce9386346f0636325a58b8614a3b9879,EPR_CREDIT_ISSUED
