unique_lot_id,short_code,collector_id,category_id,material_sub_category,quantity_weight_kg,quoted_price_per_kg,final_sale_value_inr,recycler_id,collection_location,handover_location,date_time,payment_status,transaction_status
LOT_2026_0001,2452BB,COL_MH_0017,CAT_PLASTICS,ABS Plastic Appliance Casings (Monitors/Printers),13.44,18.75,263.01,REC_MH_THANE_AGGR_008,Thane - Wagle Estate / Kisan Nagar,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-12-14T08:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0002,C5696E,COL_MH_0021,CAT_PLASTICS,ABS Plastic Appliance Casings (Monitors/Printers),39.77,18.75,750.7,REC_MH_PUNE_GREEN_006,Mumbai - Govandi / Mankhurd,Green Sense Technologies & Recyclers - Facility Gate,2026-01-23T11:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0003,09B64F,COL_MH_0040,CAT_LCD_LED,Laptop Display Screen Panel,14.12,48.75,673.0,REC_MH_ECORECO_001,Mumbai - Malad West Ward P/N,Eco Recycling Limited (Ecoreco) - Facility Gate,2025-11-10T06:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0004,C42077,COL_MH_0028,CAT_CABLES,Telecom Multi-core Ribbon Cables,45.74,195.0,8904.54,REC_MH_RECYCLEKARO_004,Mumbai - Kurla West Ward L,Recyclekaro (Envirocreation Pvt Ltd) - Facility Gate,2025-09-06T05:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0005,97587D,COL_MH_0010,CAT_PCB,High-Grade Motherboard (PC / Server),61.3,340.0,21881.46,REC_MH_EINCARNATION_002,Pune - Swargate / Bhavani Peth,E-Incarnation Recycling Private Limited - Facility Gate,2025-08-28T10:00:00+00:00,PAID_CASH,CONFIRMED
LOT_2026_0006,EDA87C,COL_MH_0014,CAT_MOTORS,Hard Disk Drive Neodymium Magnet Assy,32.51,71.25,2401.42,REC_MH_THANE_AGGR_008,Nagpur - Sitabuldi / Cotton Market,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2025-12-08T11:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0007,D38988,COL_MH_0032,CAT_OTHER,Small Kitchen Appliances (Iron/Mixer),17.9,21.0,384.37,REC_MH_THANE_AGGR_008,Nagpur - Itwari Scrap Yard,Thane Aggregator & Pre-Dismantler Hub - Facility Gate,2026-02-15T03:00:00+00:00,PAID_CASH,IN_TRANSIT
LOT_2026_0008,64C2EA,COL_MH_0003,CAT_PCB,RAM & Mobile Daughter Boards,47.65,552.5,26030.98,REC_MH_NAGPUR_CLEAN_007,Thane - Wagle Estate / Kisan Nagar,Vidarbha E-Waste Clean Solution - Facility Gate,2025-08-04T09:00:00+00:00,PAID_CASH,COMPLETED
LOT_2026_0009,A4F2EE,COL_MH_0027,CAT_PCB,Power Supply Unit (PSU) Board,32.21,97.5,3164.18,REC_MH_ECOCENTRIC_005,Thane - Wagle Estate / Kisan Nagar,Eco-Centric Remakers Private Limited - Facility Gate,2025-08-29T01:00:00+00:00,PAID_CASH,PAID
LOT_2026_0010,0623F7,COL_MH_0033,CAT_CABLES,Insulated Flexible Copper Wire (Household),34.61,217.5,7286.65,REC_MH_NAGPUR_CLEAN_007,Thane - Mumbra / Diva,Vidarbha E-Waste Clean Solution - Facility Gate,2025-10-11T07:00:00+00:00,PAID_CASH,CONFIRMED
