date,category_id,category_name,location_cluster,buying_price_per_kg,selling_price_per_kg,unit,source_type,notes
2025-01-01,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),12.42,20.26,kg,field,Aggregated field market reading
2025-01-01,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),17.42,26.26,kg,recycler,Aggregated recycler market reading
2025-01-01,CAT_CRT,CRT Monitors & TVs,Maharashtra (Mumbai/Pune/Nashik),14.42,22.66,kg,synthetic,Aggregated synthetic market reading
2025-01-01,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),36.25,52.97,kg,field,Aggregated field market reading
2025-01-01,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),41.25,58.97,kg,recycler,Aggregated recycler market reading
2025-01-01,CAT_LCD_LED,LCD / LED Panels,Maharashtra (Mumbai/Pune/Nashik),38.25,55.37,kg,synthetic,Aggregated synthetic market reading
2025-01-01,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),175.9,254.56,kg,field,Aggregated field market reading
2025-01-01,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),180.9,260.56,kg,recycler,Aggregated recycler market reading
2025-01-01,CAT_PCB,Printed Circuit Boards (PCBs),Maharashtra (Mumbai/Pune/Nashik),177.9,256.96,kg,synthetic,Aggregated synthetic market reading
2025-01-01,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),239.15,319.13,kg,field,Aggregated field market reading
2025-01-01,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),244.15,325.13,kg,recycler,Aggregated recycler market reading
2025-01-01,CAT_CABLES,Copper Cables & Wires,Maharashtra (Mumbai/Pune/Nashik),241.15,321.53,kg,synthetic,Aggregated synthetic market reading
2025-01-01,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),71.26,100.16,kg,field,Aggregated field market reading
2025-01-01,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),76.26,106.16,kg,recycler,Aggregated recycler market reading
2025-01-01,CAT_BATTERY,Batteries (Lead-Acid & Li-Ion),Maharashtra (Mumbai/Pune/Nashik),73.26,102.56,kg,synthetic,Aggregated synthetic market reading
2025-01-01,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),33.11,45.75,kg,field,Aggregated field market reading
2025-01-01,CAT_MOTORS,Motors & Magnet Assemblies,Maharashtra (Mumbai/Pune/Nashik),38.11,51.75,kg,recycler,Aggregated recycler market reading
